"Módulo","Funcionalidad","Descripción del Caso de Prueba","Pasos","Resultado Esperado","Estado"
"PWA / Sistema","Instalación","Instalación de la aplicación en dispositivo móvil","1. Abrir la app por HTTPS o localhost. 2. Presionar 'Añadir a pantalla de inicio'.","La app se instala como aplicación nativa en el dispositivo con todos sus iconos correctos.","Pendiente"
"PWA / Sistema","Offline Básico","Carga de la aplicación sin internet","1. Apagar red Wi-Fi y datos (modo avión). 2. Abrir la aplicación instalada.","La aplicación abre instantáneamente sin errores y muestra la última información almacenada localmente.","Pendiente"
"Administración","Importación de Datos","Importación de clientes y campos vía CSV","1. Navegar a la sección de Admin. 2. Seleccionar el archivo CSV de clientes. 3. Presionar Importar.","Los datos se procesan y se muestran los registros nuevos en el listado de clientes correctamente.","Pendiente"
"Administración","Gestión Multiusuario","Filtro de reportes por usuario/vendedor","1. Verificar asociación de un cliente con un vendedor. 2. Iniciar sesión / simular el usuario correspondiente.","El vendedor solo ve los clientes y visitas asignadas a su campaña o cartera.","Pendiente"
"Listado de Clientes","Búsqueda","Buscar clientes en el listado","1. Escribir nombre o ID en el buscador. 2. Revisar resultados.","El listado se filtra inmediatamente mostrando solo coincidencias.","Pendiente"
"Planificador (Planner)","Creación de Visita","Crear una nueva visita a campo","1. Ir a Planner. 2. Seleccionar cliente. 3. Asignar fecha y hora. 4. Guardar.","La visita aparece reflejada en el calendario/lista con el estado 'Pendiente'.","Pendiente"
"Planificador (Planner)","Edición de Visita","Modificar hora o detalles de visita","1. Seleccionar visita existente. 2. Cambiar fecha u objetivo. 3. Guardar.","Los cambios se reflejan inmediatamente en la interfaz.","Pendiente"
"Mapa Offline","Visualización de Capas","Carga de mapas sin conexión","1. Desconectar internet. 2. Abrir detalle de campo.","Los tiles/mapas de OpenStreetMap cargan desde el caché y muestran el polígono del campo.","Pendiente"
"Geolocalización","Captura GPS de Lote","Guardar coordenadas exactas o ajustes","1. Estando en el campo usar 'Capturar ubicación actual'. 2. Ajustar manualmente y guardar.","Las coordenadas actualizadas se guardan en el IndexedDB/Local.","Pendiente"
"Ejecución de Visita","Formulario y Notas","Completar datos agrónomos","1. Abrir visita planificada. 2. Llenar notas y observaciones fitosanitarias. 3. Guardar.","La información se refleja en el detalle de la visita local.","Pendiente"
"Ejecución de Visita","Firma Digital (Signature)","Recepción de la firma de conformidad del cliente","1. Abrir panel de firma. 2. Que el agricultor firme. 3. Guardar imagen.","La firma se renderiza correctamente y se adhiere como validación a la visita.","Pendiente"
"Sincronización","Sincronización Bidireccional","Subida de datos rezagados a Supabase","1. Crear y finalizar visita en Modo Avión. 2. Conectarse a Internet. 3. Revisar sincronización o presionar botón 'Sync'.","Los datos locales (visitas, notas, firmas) se registran correctamente en Supabase y el estado de la visita pasa a 'Sincronizado'.","Pendiente"
"Sincronización","Persistencia de Datos","Verificar desaparición de Mocks","1. Actualizar caché de la app. 2. Listar clientes.","No debe aparecer basura de datos Mocked, todo debe alimentarse mediante la BD real de Supabase/Dexie (IndexedDB).","Pendiente"
